,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,regularMarketPrice,logo_url
AAPL,95014,Technology,137000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides digital content stores and streaming services; AppleCare support services; and iCloud, a cloud service, which stores music, photos, contacts, calendars, mail, documents, and others. In addition, the company offers various service, such as Apple Arcade, a game subscription service; Apple Card, a co-branded credit card; Apple News+, a subscription news and magazine service; and Apple Pay, a cashless payment service, as well as licenses its intellectual property, and provides other related services. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store, Mac App Store, and Watch App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. has a collaboration with Google to develop COVID-19 tracking system for Android and iOS devices. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,United States,[],http://www.apple.com,1,One Apple Park Way,Consumer Electronics,459.63,464.25,324.15594,0.0068098255,0.2373,,464.35,,47481550,,459.63,400.33087,3.13,464.25,,47481550,,,,3.2800000000000002,1596758400,1.226373,,,456.93,2,USD,34.671974,13101875,,,,1954604253184,,,36775312,7.137317,456.93,457.15,,800,13101875,464.35,29.417631,,1.56,201,457.1,False,0.0070999996,3000,464.35,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAPL,finmb_24937,us_market,,7.283,,0.21334000000000003,25.351,1.1850724,,15.54,,4275630080,,,16.873,26502377,0.006200000000000001,,1569628800,0.6211500000000001,58424000512,13.185,,0.15364361,27.094175,0.0006600000000000001,1632787200,1593216000,0.77,1593475200,4271315610,1994370711552,,1402272000,7:1,,,0.12,1596153600,2.84,,0.006200000000000001,33962851,,,464.25,https://logo.clearbit.com/apple.com
TSLA,94304,Consumer Cyclical,48016,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, Netherlands, Norway, and internationally. The company operates in two segments, Automotive; and Energy Generation and Storage. The Automotive segment offers sedans and sport utility vehicles. It also provides electric powertrain components and systems; and services for electric vehicles through its company-owned service locations, and Tesla mobile service technicians, as well as sells used vehicles. This segment markets and sells its products through a network of company-owned stores and galleries, as well as through its own Website. The Energy Generation and Storage segment offers energy storage products, such as rechargeable lithium-ion battery systems for use in homes, industrial, commercial facilities, and utility grids; and designs, manufactures, installs, maintains, leases, and sells solar energy generation and energy storage products to residential and commercial customers. It also provides vehicle insurance services, as well as renewable energy. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was founded in 2003 and is headquartered in Palo Alto, California.",Palo Alto,650-681-5000,United States,[],http://www.tesla.com,1,3500 Deer Creek Road,Auto Manufacturers,1650.71,1677,920.3402,,0,,1793,,13317116,,1650.71,1447.9706,,1677,,13317116,,,,,,1.302197,,,1672.83,2,USD,913.28674,9555050,,,,328830156800,,,13208430,12.790966,1672.83,1765.92,,1800,9555050,1794.99,113.47073,,,211,1765,False,,1100,1793,NMS,"Tesla, Inc.","Tesla, Inc.",America/New_York,EDT,False,-14400000,EQUITY,TSLA,finmb_27444752,us_market,,12.291,,0.0143099995,91.719,6.2773,,15.55,,186362000,,,52.984,11945253,0.3205,,1577750400,0.5792700000000001,376000000,1.932,,0.15364361,33.301937,0.2051,1640908800,1593475200,0.6900000000000001,1593475200,148638385,315973173248,,,,,,,1596153600,0.46,,0.40150002,13958518,,,1677,https://logo.clearbit.com/tesla.com
JNJ,08933,Healthcare,132200,"Johnson & Johnson researches and develops, manufactures, and sells various products in the health care field worldwide. It operates in three segments: Consumer, Pharmaceutical, and Medical Devices. The Consumer segment offers baby care products under the JOHNSON'S brand; oral care products under the LISTERINE brand; beauty products under the AVEENO, CLEAN & CLEAR, DABAO, JOHNSON'S Adult, LE PETITE MARSEILLAIS, NEUTROGENA, and OGX brands; over-the-counter medicines, including acetaminophen products under the TYLENOL brand; cold, flu, and allergy products under the SUDAFED brand; allergy products under the BENADRYL and ZYRTEC brands; ibuprofen products under the MOTRIN IB brand; and acid reflux products under the PEPCID brand. This segment also provides women's health products, such as sanitary pads and tampons under the STAYFREE, CAREFREE, and o.b. brands; wound care products comprising adhesive bandages under the BAND-AID brand; and first aid products under the NEOSPORIN brand. The Pharmaceutical segment offers products in various therapeutic areas, including immunology, infectious diseases, neuroscience, oncology, pulmonary hypertension, and cardiovascular and metabolic diseases. The Medical Devices segment provides orthopedic products; general surgery, biosurgical, endomechanical, and energy products; electrophysiology products to treat cardiovascular diseases; sterilization and disinfection products to reduce surgical infection; diabetes care products; and vision care products, such as disposable contact lenses and ophthalmic products related to cataract and laser refractive surgery. The company markets its products to general public, and retail outlets and distributors, as well as distributes directly to wholesalers, hospitals, and health care professionals for prescription use. It has collaboration agreements with Morphic Therapeutic; and Emergent BioSolutions, Inc. The company was founded in 1886 and is based in New Brunswick, New Jersey.",New Brunswick,732 524 0400,United States,[],http://www.jnj.com,1,One Johnson & Johnson Plaza,Drug Manufacturers—General,148.24,148.32,144.04463,0.026038853,0.6784,,150.23,,4795316,,148.24,146.33,3.86,148.32,,4795316,,,,4.04,1598227200,0.693956,,,148.25,2,USD,26.384588,1425659,,,,394844012544,,,6680026,4.904712,148.25,150.04,,1000,1425659,157,16.589602,,2.66,109.16,150.03,False,0.0273,800,150.23,NYQ,Johnson & Johnson,Johnson & Johnson,America/New_York,EDT,False,-14400000,EQUITY,JNJ,finmb_139677,us_market,,4.9879999999999995,,0.18863001000000001,14.757,0.12090742600000001,,9.04,,2632819968,,,23.924,12395289,0.0047,,1577577600,0.70252,15185000448,5.684,,0.15364361,6.2686005,0.0008300000000000001,1640736000,1593302400,1.96,1593475200,2630059010,401548738560,,992390400,2:1,,,-0.353,1596153600,3.71,,0.0047,12778289,,,148.32,https://logo.clearbit.com/jnj.com
FB,94025,Communication Services,52534,"Facebook, Inc. develops products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, and in-home devices worldwide. The company's products include Facebook that enables people to connect, share, discover, and communicate with each other on mobile devices and personal computers; Instagram, a community for sharing photos, videos, and private messages; Messenger, a messaging application for people to connect with friends, family, groups, and businesses across platforms and devices; and WhatsApp, a messaging application that is used by people and businesses to communicate in a private way. It also provides Oculus, a hardware, software, and developer ecosystem, which allows people to come together and connect with each other through its Oculus virtual reality products. Facebook, Inc. was founded in 2004 and is headquartered in Menlo Park, California.",Menlo Park,650-543-4800,United States,[],http://investor.fb.com,1,1601 Willow Road,Internet Content & Information,261.24,262.5,210.16238,,0,,264.0973,,30801683,,261.24,244.01646,,262.5,,30801683,,,,,,1.20934,,,259.4,2,USD,31.768156,4967555,,,,740123410432,,,26247217,9.847698,259.4,259.75,,900,4967555,278.89,25.697329,,,137.1,259.63,False,,800,264.0973,NMS,"Facebook, Inc.","Facebook, Inc.",America/New_York,EDT,False,-14400000,EQUITY,FB,finmb_20765463,us_market,,9.274000000000001,,0.31296,20.449,0.40323353,,10.11,,2404280064,,,38.753,26007012,0.0091,,1577750400,0.79412,23520999424,8.178,,0.15364361,6.703997,0.006640000000000001,1640908800,1593475200,1.08,1593475200,2391951225,696988663808,,,,,,0.979,1596153600,1.9100000000000001,,0.0108,30149776,,,262.5,https://logo.clearbit.com/investor.fb.com
EBAY,95125,Consumer Cyclical,13300,"eBay Inc. operates the marketplace and classifieds platforms that connect buyers and sellers worldwide. Its Marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps; and Classifieds platform comprises a collection of brands, such as Mobile.de, Kijiji, Gumtree, Marktplaats, eBay Kleinanzeigen, and others that offer online classifieds to help people find what they are looking for in their local communities. Its platforms enable users to list, buy, sell, and pay for items through various online, mobile, and offline channels that include retailers, distributors, liquidators, import and export companies, auctioneers, catalog and mail-order companies, classifieds, directories, search engines, commerce participants, shopping channels, and networks. The company was founded in 1995 and is headquartered in San Jose, California.",San Jose,408-376-7008,United States,[],http://www.ebayinc.com,1,2025 Hamilton Avenue,Internet Retail,56.29,56.69,43.1429,0.010659087000000001,0.219,,57.24,,7233183,,56.29,56.173824,0.6000000000000001,56.69,,7233183,,,,0.64,1598832000,1.380769,,,56.295,2,USD,8.825898,1657151,,,,39879221248,,,10972600,3.5596912,56.295,57,,900,1657151,61.06,14.388888,,,26.02,56.99,False,0.0115,800,57.24,NMS,eBay Inc.,eBay Inc.,America/New_York,EDT,False,-14400000,EQUITY,EBAY,finmb_27862,us_market,,3.855,,0.44845,12.953,0.39366186000000003,,3.96,,699881024,,,4.116,16356420,0.0234,,1577750400,1.0716001,2100999936,6.456,,0.15364361,13.843536,0.051300000000000005,1640908800,1593475200,1.58,1593475200,664194178,43184308224,,1437350400,2376:1000,,,0.856,1596153600,0.99,,0.024600001,19840019,,,56.69,https://logo.clearbit.com/ebayinc.com
